Player,Weekly Wages
Kevin De Bruyne,400000.0
Erling Haaland,375000.0
Jadon Sancho,350000.0
Mohamed Salah,350000.0
Raheem Sterling,325000.0
Jack Grealish,300000.0
Kalidou Koulibaly,295000.0
Gabriel Jesus,265000.0
Anthony Martial,250000.0
Kai Havertz,250000.0
Reece James,250000.0
John Stones,250000.0
Bruno Fernandes,240000.0
Phil Foden,225000.0
Virgil van Dijk,220000.0
Thomas Partey,200000.0
Antony,200000.0
Marcus Rashford,200000.0
Harry Kane,200000.0
Son Heung-min,190000.0
Ben Chilwell,190000.0
Fabinho,180000.0
Roberto Firmino,180000.0
Trent Alexander-Arnold,180000.0
Manuel Akanji,180000.0
Marc Cucurella,175000.0
Cristian Romero,165000.0
Lucas Digne,160000.0
Kyle Walker,160000.0
Riyad Mahrez,160000.0
Oleksandr Zinchenko,150000.0
Christian Eriksen,150000.0
Luke Shaw,150000.0
Boubacar Kamara,150000.0
Bernardo Silva,150000.0
Diogo Jota,140000.0
Jordan Henderson,140000.0
Jamie Vardy,140000.0
Wilfried Zaha,130000.0
Kurt Zouma,125000.0
Ben White,120000.0
Granit Xhaka,120000.0
Fred,120000.0
Cody Gakpo,120000.0
Ruben Loftus-Cheek,120000.0
Alex Iwobi,120000.0
Aymeric Laporte,120000.0
Dejan Kulusevski,110000.0
James Maddison,110000.0
Thiago Silva,110000.0
Eddie Nketiah,100000.0
James Ward-Prowse,100000.0
Rodrigo,100000.0
Andrew Robertson,100000.0
Leon Bailey,100000.0
Jonny Evans,100000.0
Kieran Trippier,100000.0
Amadou Onana,100000.0
Dominic Calvert-Lewin,100000.0
James Tarkowski,100000.0
Emerson Palmieri,95000.0
Aaron Wan-Bissaka,90000.0
Richarlison,90000.0
Gianluca Scamacca,90000.0
Sven Botman,90000.0
Eric Dier,85000.0
Pedro Porro,85000.0
Michail Antonio,85000.0
Joe Gomez,85000.0
Matheus Nunes,85000.0
Joelinton,85000.0
Ben Davies,80000.0
Joachim Andersen,80000.0
Thilo Kehrer,80000.0
Matty Cash,80000.0
Tyrone Mings,80000.0
Kelechi Iheanacho,80000.0
Joe Willock,80000.0
Mason Mount,80000.0
Idrissa Gana Gueye,80000.0
Michael Keane,80000.0
Jesse Lingard,80000.0
Tyrell Malacia,75000.0
Theo Walcott,75000.0
Rodrigo Bentancur,75000.0
Douglas Luiz,75000.0
Ollie Watkins,75000.0
Patson Daka,75000.0
Wilfred Ndidi,75000.0
Lewis Dunk,75000.0
Bukayo Saka,70000.0
Gabriel Martinelli,70000.0
Joe Aribo,70000.0
Patrick Bamford,70000.0
Angelo Ogbonna,70000.0
Jacob Ramsey,70000.0
Allan Saint-Maximin,70000.0
Issa Diop,70000.0
Stuart Armstrong,65000.0
Pablo Fornals,65000.0
Timothy Castagne,65000.0
Scott McTominay,60000.0
Mohamed Elyounoussi,60000.0
Junior Firpo,60000.0
Declan Rice,60000.0
Jarrod Bowen,60000.0
James Milner,60000.0
Daniel Podence,60000.0
Renan Lodi,60000.0
Vitaliy Mykolenko,58000.0
Adam Armstrong,55000.0
Yves Bissouma,55000.0
Jefferson Lerma,55000.0
Tyler Adams,55000.0
John McGinn,55000.0
Ben Mee,55000.0
Adam Webster,55000.0
Danny Welbeck,55000.0
Conor Coady,55000.0
Jeffrey Schlupp,50000.0
Dominic Solanke,50000.0
Marcos Senesi,50000.0
Jack Harrison,50000.0
Marc Roca,50000.0
Pascal Struijk,50000.0
Aaron Cresswell,50000.0
Nayef Aguerd,50000.0
Ashley Young,50000.0
Diego Costa,50000.0
Pedro Neto,50000.0
Sean Longstaff,50000.0
Conor Gallagher,50000.0
Trevoh Chalobah,50000.0
Alexis Mac Allister,50000.0
Neal Maupay,50000.0
Neco Williams,50000.0
Taiwo Awoniyi,50000.0
Andreas Pereira,50000.0
Kenny Tete,50000.0
Callum Wilson,46000.0
Michael Olise,45000.0
Brenden Aaronson,45000.0
Bryan Mbeumo,45000.0
Moussa Niakhate,45000.0
William Saliba,40000.0
Emerson,40000.0
Oliver Skipp,40000.0
Tyrick Mitchell,40000.0
Lewis Cook,40000.0
Philip Billing,40000.0
Rasmus Kristensen,40000.0
Robin Koch,40000.0
Harvey Elliott,40000.0
Frederic Guilbert,40000.0
Harry Souttar,40000.0
Harvey Barnes,40000.0
Solly March,40000.0
Remo Freuler,40000.0
Tosin Adarabioyo,40000.0
Willian,40000.0
Alex Telles,37500.0
Ainsley Maitland-Niles,35000.0
Lyanco,35000.0
Joel Ward,35000.0
Jordan Ayew,35000.0
Adam Smith,35000.0
Chris Mepham,35000.0
Jonny Castro,35000.0
Youri Tielemans,35000.0
Dan Burn,35000.0
Jacob Murphy,35000.0
Rico Henry,35000.0
Serge Aurier,35000.0
Bobby Reid,35000.0
Harry Wilson,35000.0
Che Adams,30000.0
Romain Perraud,30000.0
Eberechi Eze,30000.0
Lloyd Kelly,30000.0
Ryan Christie,30000.0
Ezri Konsa,30000.0
Hwang Hee-chan,30000.0
James Justin,30000.0
Aaron Hickey,30000.0
Mikkel Damsgaard,30000.0
Vitaly Janelt,30000.0
Brennan Johnson,30000.0
Orel Mangala,30000.0
Steve Cook,30000.0
Harrison Reed,30000.0
Tim Ream,30000.0
Tom Cairney,30000.0
Nathan Patterson,28000.0
Diogo Dalot,25000.0
Carlos Alcaraz,25000.0
Mohammed Salisu,25000.0
Liam Cooper,25000.0
Demarai Gray,25000.0
Dwight McNeil,25000.0
Ryan Yates,25000.0
Antonee Robinson,25000.0
Kyle Walker-Peters,20000.0
Marcus Tavernier,20000.0
Luke Ayling,20000.0
Nathan Collins,20000.0
Daniel Amartey,20000.0
Kiernan Dewsbury-Hall,20000.0
Ivan Toney,20000.0
Josh Dasilva,20000.0
Mathias Jensen,20000.0
Yoane Wissa,20000.0
Scott McKenna,20000.0
Armel Bella Kotchap,15000.0
Kieffer Moore,15000.0
Crysencio Summerville,15000.0
Curtis Jones,15000.0
Max Kilman,15000.0
Ethan Pinnock,15000.0
Harry Toffolo,15000.0
Joe Worrall,15000.0
Jaidon Anthony,10000.0
Luke Thomas,10000.0
Mads Roerslev,10000.0
Kaoru Mitoma,10000.0
Joe Rothwell,8000.0
Jordan Zemura,8000.0
Hugo Bueno,5000.0
Toti Gomes,5000.0
Levi Colwill,5000.0
Rico Lewis,5000.0
Evan Ferguson,3000.0
Frenkie de Jong,620416.0
Toni Kroos,403353.0
Karim Benzema,397066.0
Sergio Busquets,397066.0
David Alaba,372250.0
Robert Lewandowski,344620.0
Koke,264711.0
Ansu Fati,230795.0
Antoine Griezmann,206805.0
Raphinha,206805.0
Jordi Alba,174709.0
Dani Carvajal,172393.0
Ferland Mendy,172393.0
Marco Asensio,162632.0
Pedri,155187.0
Andreas Christensen,148900.0
Nacho,141289.0
Eduardo Camavinga,137815.0
Rodrygo,137815.0
Axel Witsel,137815.0
Federico Valverde,134506.0
Yannick Carrasco,125076.0
Geoffrey Kondogbia,114157.0
Nabil Fekir,112502.0
Gavi,112502.0
Rodrigo De Paul,110351.0
Marcos Alonso,103403.0
Nemanja Gudelj,92649.0
Gabriel Paulista,88182.0
David Silva,87685.0
Munir El Haddadi,86858.0
Sergi Roberto,82722.0
Borja Mayoral,79248.0
Vedat Muriqi,75773.0
Yuri Berchiche,70810.0
Tanguy Nianzou,68990.0
Edinson Cavani,68990.0
Roque Mesa,68825.0
Giovani Lo Celso,68163.0
Daniel Parejo,62869.0
Pau Torres,62869.0
Justin Kluivert,62042.0
Gerard Moreno,59891.0
Nico Williams,57906.0
Thomas Lemar,53769.0
Mikel Merino,52942.0
Luiz Felipe,52942.0
Dani Ceballos,51784.0
Martin Braithwaite,51619.0
Youssef En-Nesyri,49633.0
Asier Illarramendi,49633.0
Hugo Duro,47813.0
Suso,46324.0
Robin Le Normand,46324.0
Iago Aspas,43016.0
Hugo Mallo,42850.0
Joselu,41361.0
Karim Rekik,41361.0
Samu Castillejo,41361.0
Franco Cervi,41361.0
William Carvalho,38879.0
Alfonso Pedraza,36398.0
Iker Muniain,36398.0
Mikel Oyarzabal,36398.0
Portu,34909.0
Marcos Llorente,34743.0
Mario Hermoso,34743.0
Alex Baena,33089.0
Juan Foyth,33089.0
Alex Telles,33089.0
Igor Zubeldia,33089.0
Takefusa Kubo,33089.0
Joseph Aidoo,32262.0
Sergi Darder,31434.0
Rafa Mir,31434.0
Dimitri Foulquier,30938.0
Aritz Elustondo,30607.0
Thierry Correia,30442.0
Ezequiel Ponce,29780.0
Toni Lato,29118.0
Ilaix Moriba,26802.0
Lucas Ocampos,26469.0
Borja Iglesias,26471.0
Sergio Canales,26471.0
Mauro Arambarri,25313.0
Yunus Musah,24817.0
Alberto Moreno,23162.0
Viktor Tsyhankov,23162.0
Florian Lejeune,23162.0
Gonzalo Montiel,22831.0
Yeremi Pino,22335.0
Juan Miranda,21508.0
Samuel Lino,20681.0
Omar Alderete,19853.0
Cristhian Stuani,19853.0
Nahuel Molina,19853.0
Diego Rico,19853.0
Theo Bongonda,19853.0
Juanmi,19853.0
Samuel Chukwueze,18199.0
Daniel Vivian,18199.0
Yangel Herrera,18199.0
Carlos Clerc,17868.0
Domingos Duarte,17868.0
Nacho Vidal,16710.0
Lucas Olaza,16544.0
Mikel Vesga,16544.0
Aleix Vidal,16544.0
Pablo Maffeo,16214.0
Lucas Robertone,15717.0
Andoni Gorosabel,14890.0
Youssouf Sabaly,14063.0
Leandro Cabrera,13897.0
Iddrisu Baba,13566.0
