Squad,LgRk
Napoli,1
Manchester City,1
Barcelona,1
Paris S-G,1
Arsenal,2
Lens,2
Bayern Munich,1
Dortmund,2
Real Madrid,2
Atlético Madrid,3
Manchester Utd,3
Lazio,2
RB Leipzig,3
Marseille,3
Inter,3
Newcastle Utd,4
Real Sociedad,4
Milan,4
Union Berlin,4
Rennes,4
Liverpool,5
Lille,5
Freiburg,5
Monaco,6
Villarreal,5
Atalanta,5
Roma,6
Juventus,7
Brighton,6
Lyon,7
Aston Villa,7
Tottenham,8
Betis,6
Brentford,9
Clermont Foot,8
Nice,9
Fiorentina,8
Leverkusen,6
Eint Frankfurt,7
Lorient,10
Wolfsburg,8
Bologna,9
Torino,10
Osasuna,7
Fulham,10
Monza,11
Mainz 05,9
Athletic Club,8
Reims,11
Montpellier,12
Mallorca,9
Girona,10
Sevilla,12
Rayo Vallecano,11
M'Gladbach,10
Toulouse,13
Köln,11
Udinese,12
Crystal Palace,11
Sassuolo,13
Chelsea,12
Brest,14
Celta Vigo,13
Empoli,14
Valencia,16
Getafe,15
Salernitana,15
Cádiz,14
Almería,17
Wolves,13
Hoffenheim,12
Werder Bremen,13
Strasbourg,15
West Ham,14
Valladolid,18
Bochum,14
Bournemouth,15
Augsburg,15
Nott'ham Forest,16
Stuttgart,16
Espanyol,19
Lecce,16
Nantes,16
Everton,17
Auxerre,17
Schalke 04,17
Leicester City,18
Hertha BSC,18
Hellas Verona,18
Leeds United,19
Spezia,17
Cremonese,19
Ajaccio,18
Southampton,20
Elche,20
Troyes,19
Sampdoria,20
Angers,20
