Player,Squad,Position,Tkl,TklW,Blocks,blkSh,blkPass,Int,Clr,Min,Gls,Ast,xG,npxG,xAG,PrgC,PrgR,Fls,Fld,Recov,aerWon,aerLost,passCmp,passAtt,KP,pass1/3,CrsPA,PrgP,Sh,SoT,SCA,Touches,Att_pos,SuccDrib,Carries,Rec
Brenden Aaronson,Leeds United,Central Midfielder,45.0,18.0,43.0,3.0,40.0,5.0,6.0,2372.0,1.0,3.0,3.9,3.9,4.2,43.0,151.0,16.0,55.0,128.0,8.0,39.0,592.0,797.0,46.0,47.0,4.0,86.0,41.0,9.0,95.0,1143.0,100.0,34.0,686.0,767.0
Yunis Abdelhamid,Reims,Center-Back,82.0,50.0,65.0,27.0,38.0,64.0,116.0,3330.0,1.0,2.0,2.4,2.4,1.0,40.0,10.0,49.0,28.0,263.0,93.0,51.0,1679.0,2031.0,13.0,155.0,0.0,215.0,32.0,3.0,43.0,2459.0,37.0,21.0,1723.0,1499.0
Himad Abdelli,Angers,Attacking Midfielder,64.0,38.0,30.0,1.0,29.0,28.0,15.0,2137.0,2.0,2.0,1.4,1.4,2.9,58.0,111.0,43.0,31.0,180.0,18.0,23.0,1043.0,1257.0,36.0,124.0,8.0,151.0,24.0,7.0,69.0,1516.0,76.0,43.0,1184.0,1066.0
Salis Abdul Samed,Lens,Central Midfielder,46.0,26.0,38.0,9.0,29.0,36.0,26.0,2894.0,1.0,1.0,0.9,0.9,1.6,33.0,44.0,71.0,38.0,213.0,14.0,17.0,1819.0,1981.0,17.0,182.0,3.0,165.0,13.0,4.0,50.0,2224.0,49.0,29.0,1849.0,1705.0
Laurent Abergel,Lorient,Central Midfielder,92.0,52.0,47.0,8.0,39.0,34.0,39.0,2342.0,0.0,1.0,0.5,0.5,1.3,13.0,14.0,28.0,29.0,193.0,8.0,15.0,1308.0,1483.0,14.0,144.0,0.0,143.0,13.0,2.0,33.0,1779.0,41.0,23.0,1384.0,1257.0
Zakaria Aboukhlal,Toulouse,Right Winger,33.0,23.0,18.0,1.0,17.0,22.0,23.0,2473.0,10.0,5.0,11.5,11.5,3.3,100.0,276.0,41.0,46.0,130.0,12.0,31.0,576.0,777.0,22.0,30.0,4.0,72.0,83.0,30.0,80.0,1163.0,109.0,42.0,901.0,843.0
Tammy Abraham,Roma,Striker,17.0,10.0,10.0,4.0,6.0,3.0,14.0,2189.0,8.0,3.0,10.8,10.8,3.6,35.0,141.0,33.0,48.0,46.0,80.0,74.0,342.0,513.0,33.0,18.0,2.0,54.0,62.0,28.0,70.0,786.0,68.0,22.0,421.0,621.0
Francesco Acerbi,Inter,Center-Back,33.0,19.0,25.0,18.0,7.0,41.0,85.0,2425.0,0.0,2.0,1.0,1.0,1.1,39.0,32.0,17.0,13.0,151.0,78.0,42.0,1455.0,1644.0,16.0,86.0,3.0,100.0,18.0,2.0,37.0,1890.0,12.0,7.0,1041.0,1252.0
Marcos Acuna,Sevilla,Left-Back,57.0,36.0,16.0,5.0,11.0,23.0,36.0,1912.0,3.0,2.0,1.2,1.2,4.3,49.0,94.0,32.0,34.0,141.0,30.0,18.0,970.0,1307.0,38.0,71.0,19.0,102.0,21.0,5.0,65.0,1523.0,54.0,26.0,823.0,903.0
Che Adams,Southampton,Striker,17.0,13.0,13.0,4.0,9.0,4.0,22.0,1992.0,5.0,3.0,6.6,6.6,2.8,17.0,115.0,38.0,27.0,53.0,61.0,103.0,330.0,498.0,24.0,21.0,2.0,34.0,47.0,14.0,57.0,717.0,34.0,17.0,406.0,558.0
Tyler Adams,Leeds United,Central Midfielder,89.0,46.0,48.0,8.0,40.0,35.0,29.0,2156.0,0.0,0.0,0.1,0.1,1.4,19.0,20.0,37.0,21.0,199.0,25.0,15.0,1108.0,1343.0,24.0,110.0,0.0,136.0,4.0,0.0,43.0,1628.0,22.0,7.0,818.0,919.0
Tosin Adarabioyo,Fulham,Center-Back,30.0,13.0,20.0,15.0,5.0,26.0,140.0,2085.0,1.0,0.0,0.7,0.7,0.4,16.0,3.0,17.0,5.0,110.0,59.0,26.0,1066.0,1300.0,6.0,96.0,0.0,95.0,16.0,4.0,18.0,1544.0,8.0,6.0,834.0,975.0
Karim Adeyemi,Dortmund,Left Winger,16.0,11.0,18.0,1.0,17.0,7.0,3.0,1386.0,6.0,5.0,5.0,4.3,3.7,49.0,131.0,21.0,30.0,66.0,10.0,4.0,335.0,457.0,28.0,17.0,0.0,47.0,37.0,14.0,59.0,676.0,94.0,34.0,455.0,478.0
Amine Adli,Leverkusen,Attacking Midfielder,18.0,10.0,28.0,2.0,26.0,6.0,7.0,1435.0,5.0,3.0,5.0,5.0,1.7,46.0,137.0,39.0,47.0,61.0,29.0,41.0,427.0,565.0,20.0,26.0,0.0,49.0,37.0,17.0,56.0,786.0,58.0,26.0,467.0,598.0
Michel Aebischer,Bologna,Defensive Midfielder,12.0,6.0,14.0,2.0,12.0,7.0,9.0,1542.0,1.0,0.0,1.5,1.5,0.6,14.0,85.0,22.0,22.0,68.0,10.0,25.0,557.0,674.0,15.0,37.0,1.0,46.0,15.0,2.0,35.0,791.0,13.0,6.0,505.0,618.0
Emmanuel Agbadou,Reims,Center-Back,71.0,49.0,30.0,14.0,16.0,32.0,107.0,2388.0,0.0,3.0,1.7,1.7,2.4,15.0,8.0,29.0,6.0,248.0,60.0,36.0,1281.0,1493.0,13.0,112.0,1.0,131.0,22.0,3.0,31.0,1798.0,14.0,8.0,1287.0,1087.0
Lucien Agoume,Troyes,Central Midfielder,42.0,25.0,14.0,5.0,9.0,27.0,24.0,1094.0,0.0,1.0,0.8,0.8,1.1,9.0,10.0,30.0,8.0,84.0,31.0,18.0,619.0,744.0,12.0,62.0,2.0,93.0,9.0,3.0,27.0,893.0,13.0,5.0,646.0,590.0
Alvaro Aguado,Valladolid,Central Midfielder,27.0,15.0,16.0,4.0,12.0,13.0,15.0,1888.0,1.0,2.0,1.0,1.0,2.2,29.0,50.0,13.0,33.0,130.0,15.0,17.0,930.0,1142.0,35.0,111.0,2.0,139.0,20.0,6.0,76.0,1292.0,31.0,13.0,833.0,908.0
Kevin Agudelo,Spezia,Left Winger,71.0,38.0,39.0,5.0,34.0,10.0,6.0,2131.0,0.0,1.0,1.5,1.5,3.0,81.0,100.0,34.0,35.0,140.0,17.0,27.0,531.0,735.0,28.0,58.0,2.0,110.0,28.0,7.0,59.0,1084.0,109.0,50.0,662.0,699.0
Nayef Aguerd,West Ham,Center-Back,27.0,18.0,26.0,24.0,2.0,18.0,79.0,1595.0,2.0,0.0,2.2,2.2,0.5,2.0,4.0,8.0,8.0,105.0,32.0,31.0,599.0,763.0,6.0,37.0,0.0,25.0,12.0,2.0,14.0,949.0,6.0,4.0,523.0,564.0
Ruben Aguilar,Monaco,Right-Back,19.0,9.0,13.0,1.0,12.0,18.0,28.0,1172.0,0.0,0.0,0.2,0.2,0.9,29.0,78.0,15.0,14.0,80.0,12.0,14.0,696.0,847.0,3.0,72.0,5.0,102.0,4.0,2.0,18.0,975.0,14.0,7.0,637.0,573.0
Jean-Eudes Aholou,Strasbourg,Not Found,34.0,20.0,25.0,0.0,25.0,24.0,15.0,1300.0,3.0,1.0,1.2,1.2,0.9,25.0,37.0,39.0,23.0,91.0,26.0,18.0,447.0,592.0,9.0,53.0,1.0,50.0,21.0,8.0,28.0,799.0,34.0,14.0,538.0,477.0
Joseph Aidoo,Celta Vigo,Center-Back,51.0,36.0,26.0,14.0,12.0,31.0,150.0,3119.0,3.0,0.0,1.0,1.0,0.1,15.0,2.0,18.0,18.0,214.0,63.0,63.0,1525.0,1766.0,2.0,83.0,0.0,95.0,14.0,3.0,10.0,2082.0,13.0,8.0,1306.0,1321.0
Rayan Ait-Nouri,Wolves,Not Found,33.0,20.0,3.0,0.0,3.0,9.0,28.0,1076.0,1.0,0.0,0.7,0.7,1.0,30.0,76.0,15.0,11.0,61.0,14.0,17.0,470.0,578.0,7.0,29.0,5.0,43.0,10.0,5.0,23.0,740.0,50.0,28.0,395.0,454.0
Emanuel Aiwum,Cremonese,Not Found,55.0,34.0,28.0,16.0,12.0,25.0,52.0,1653.0,0.0,0.0,0.2,0.2,0.4,19.0,7.0,21.0,15.0,121.0,28.0,17.0,646.0,817.0,4.0,48.0,1.0,46.0,3.0,1.0,11.0,997.0,10.0,3.0,500.0,521.0
Manuel Akanji,Manchester City,Center-Back,36.0,25.0,27.0,9.0,18.0,16.0,33.0,2287.0,0.0,1.0,1.3,1.3,0.4,24.0,17.0,24.0,12.0,136.0,23.0,34.0,1912.0,2056.0,7.0,140.0,1.0,116.0,15.0,2.0,23.0,2231.0,12.0,6.0,1544.0,1734.0
Nathan Ake,Manchester City,Center-Back,26.0,12.0,20.0,10.0,10.0,20.0,48.0,1873.0,1.0,0.0,1.6,1.6,0.7,25.0,30.0,12.0,14.0,96.0,36.0,23.0,1639.0,1813.0,9.0,165.0,1.0,140.0,9.0,2.0,24.0,1959.0,5.0,3.0,1223.0,1492.0
Sergio Akieme,Almería,Left-Back,27.0,16.0,22.0,6.0,16.0,14.0,41.0,2297.0,1.0,0.0,1.5,1.5,2.0,60.0,84.0,20.0,18.0,127.0,14.0,15.0,821.0,1061.0,21.0,43.0,17.0,58.0,23.0,7.0,36.0,1283.0,51.0,27.0,660.0,710.0
Jean-Daniel Akpa-Akpro,Empoli,Not Found,53.0,37.0,35.0,4.0,31.0,13.0,27.0,1356.0,1.0,1.0,1.5,1.5,1.0,19.0,37.0,31.0,18.0,76.0,16.0,18.0,302.0,406.0,6.0,24.0,2.0,39.0,14.0,5.0,28.0,630.0,55.0,31.0,325.0,351.0
Kevin Akpoguma,Hoffenheim,Center-Back,75.0,44.0,45.0,16.0,29.0,24.0,70.0,1950.0,0.0,0.0,0.6,0.6,0.5,17.0,23.0,33.0,19.0,131.0,57.0,45.0,814.0,1024.0,5.0,83.0,3.0,85.0,8.0,1.0,17.0,1306.0,22.0,7.0,691.0,742.0
David Alaba,Real Madrid,Center-Back,15.0,11.0,18.0,9.0,9.0,14.0,37.0,1838.0,1.0,3.0,0.8,0.8,1.1,16.0,60.0,9.0,3.0,94.0,11.0,8.0,1042.0,1189.0,16.0,68.0,4.0,67.0,14.0,3.0,27.0,1293.0,4.0,3.0,779.0,938.0
Jordi Alba,Barcelona,Left-Back,25.0,18.0,12.0,5.0,7.0,11.0,23.0,1419.0,2.0,3.0,0.8,0.8,6.2,42.0,157.0,11.0,4.0,118.0,8.0,15.0,1217.0,1460.0,38.0,120.0,15.0,141.0,13.0,4.0,59.0,1558.0,8.0,4.0,957.0,1121.0
Luis Alberto,Lazio,Central Midfielder,49.0,29.0,35.0,6.0,29.0,9.0,4.0,2442.0,6.0,7.0,4.4,2.7,7.0,73.0,94.0,15.0,13.0,162.0,8.0,13.0,1640.0,1988.0,66.0,210.0,1.0,248.0,45.0,17.0,115.0,2217.0,41.0,19.0,1244.0,1632.0
Raul Albiol,Villarreal,Center-Back,25.0,17.0,17.0,13.0,4.0,14.0,111.0,2119.0,0.0,0.0,0.1,0.1,0.0,12.0,3.0,17.0,13.0,108.0,38.0,25.0,1303.0,1472.0,2.0,98.0,0.0,100.0,2.0,1.0,12.0,1687.0,7.0,4.0,1047.0,1152.0
Thiago Alcantara,Liverpool,Central Midfielder,43.0,24.0,15.0,3.0,12.0,21.0,13.0,1254.0,0.0,0.0,0.4,0.4,1.1,13.0,24.0,18.0,25.0,111.0,14.0,24.0,946.0,1097.0,17.0,110.0,1.0,120.0,10.0,1.0,41.0,1251.0,30.0,21.0,718.0,910.0
Carlos Alcaraz,Southampton,Central Midfielder,10.0,5.0,14.0,5.0,9.0,1.0,11.0,1029.0,4.0,2.0,1.9,1.9,0.7,20.0,32.0,16.0,17.0,53.0,7.0,27.0,222.0,290.0,5.0,20.0,0.0,28.0,24.0,10.0,22.0,430.0,28.0,13.0,258.0,296.0
Ruben Alcaraz,Cádiz,Central Midfielder,43.0,31.0,23.0,8.0,15.0,19.0,37.0,2043.0,3.0,0.0,4.0,1.6,1.3,30.0,20.0,45.0,33.0,159.0,30.0,29.0,827.0,1046.0,20.0,93.0,8.0,105.0,31.0,4.0,47.0,1286.0,24.0,12.0,715.0,775.0
Omar Alderete,Getafe,Center-Back,35.0,20.0,23.0,16.0,7.0,26.0,85.0,2047.0,1.0,1.0,0.6,0.6,0.8,28.0,8.0,35.0,10.0,141.0,61.0,31.0,509.0,877.0,5.0,69.0,0.0,96.0,17.0,8.0,24.0,1114.0,22.0,17.0,529.0,533.0
Ivan Alejo,Cádiz,Right Midfielder,32.0,21.0,18.0,3.0,15.0,5.0,12.0,1311.0,0.0,1.0,1.2,1.2,2.4,52.0,103.0,38.0,44.0,76.0,25.0,17.0,219.0,392.0,21.0,10.0,20.0,16.0,23.0,6.0,40.0,590.0,47.0,12.0,356.0,378.0
Carles Alena,Getafe,Attacking Midfielder,18.0,10.0,19.0,1.0,18.0,4.0,18.0,2119.0,2.0,2.0,2.3,2.3,1.6,24.0,78.0,60.0,50.0,120.0,15.0,38.0,607.0,809.0,15.0,71.0,6.0,87.0,33.0,10.0,44.0,1024.0,43.0,24.0,608.0,728.0
Trent Alexander-Arnold,Liverpool,Not Found,57.0,40.0,25.0,7.0,18.0,43.0,41.0,2923.0,2.0,9.0,2.4,2.4,11.5,43.0,139.0,22.0,6.0,239.0,20.0,13.0,2188.0,2912.0,71.0,239.0,28.0,235.0,40.0,8.0,124.0,3180.0,45.0,30.0,1778.0,2042.0
