Player,SCA,gcaPassLive,gcaTO,gcaSh,gcaFld,gcaDef
Brenden Aaronson,95,57,7,5,8,1
Paxten Aaronson,8,4,0,2,1,0
James Abankwah,0,0,0,0,0,0
George Abbott,0,0,0,0,0,0
Yunis Abdelhamid,43,34,2,5,0,2
Himad Abdelli,69,59,3,1,0,2
Salis Abdul Samed,50,43,2,2,2,1
Laurent Abergel,33,27,2,1,0,1
Oliver Abildgaard,9,8,0,1,0,0
Matthis Abline,15,8,5,0,2,0
Matthis Abline,7,2,0,3,1,1
Abner,8,5,1,1,0,0
Zakaria Aboukhlal,80,44,10,13,10,2
Tammy Abraham,70,46,7,10,7,0
Christian Acella,0,0,0,0,0,0
Francesco Acerbi,37,34,0,2,0,0
Álvaro Aceves,0,0,0,0,0,0
Mohamed Achi,1,1,0,0,0,0
Marcos Acuña,65,45,3,3,0,0
Che Adams,57,44,2,5,5,0
Tyler Adams,43,42,0,0,1,0
Sargis Adamyan,22,16,0,6,0,0
Tosin Adarabioyo,18,15,0,3,0,0
Martin Adeline,2,2,0,0,0,0
Karim Adeyemi,59,40,8,5,4,2
Amine Adli,56,36,4,4,8,1
Yacine Adli,3,2,0,0,0,0
Michel Aebischer,35,25,2,2,2,1
Felix Afena-Gyan,15,10,1,4,0,0
Emmanuel Agbadou,31,26,0,4,0,0
Julen Agirrezabala,0,0,0,0,0,0
Lucien Agoume,27,23,0,1,0,0
Felix Agu,4,3,0,0,0,0
Álvaro Aguado,76,56,3,0,4,0
Kevin Agudelo,59,41,9,4,4,0
Nayef Aguerd,14,12,0,1,0,0
Ruben Aguilar,18,14,0,1,1,1
Naouirou Ahamada,2,1,0,1,0,0
Naouirou Ahamada,38,31,3,2,1,1
Amar Ahmed,0,0,0,0,0,0
Jean-Eudes Aholou,28,21,0,1,2,3
Joseph Aidoo,10,8,0,1,0,1
Ola Aina,27,21,3,0,1,0
Rayan Aït-Nouri,23,14,4,1,2,0
Emanuel Aiwum,11,11,0,0,0,0
Kristoffer Ajer,4,4,0,0,0,0
Ludovic Ajorque,22,20,0,2,0,0
Ludovic Ajorque,34,26,0,5,3,0
Manuel Akanji,23,22,0,1,0,0
Nathan Aké,24,20,0,2,0,1
Sergio Akieme,36,29,1,3,0,2
Babatunde Akinsola,1,0,0,0,1,0
Maghnes Akliouche,9,9,0,0,0,0
Paul Akouokou,2,0,0,2,0,0
Jean-Daniel Akpa-Akpro,28,18,3,2,2,3
Kevin Akpoguma,17,14,3,0,0,0
David Alaba,27,23,0,1,0,0
