Player,Fls,Fld,Recov,aerWon,aerLost
Brenden Aaronson,16,55,128,8,39
Paxten Aaronson,5,3,8,1,1
James Abankwah,2,1,2,2,0
George Abbott,0,0,0,0,0
Yunis Abdelhamid,49,28,263,93,51
Himad Abdelli,43,31,180,18,23
Salis Abdul Samed,71,38,213,14,17
Laurent Abergel,28,29,193,8,15
Oliver Abildgaard,13,7,37,50,21
Matthis Abline,14,10,13,12,30
Matthis Abline,3,5,2,1,4
Abner,8,2,43,9,16
Zakaria Aboukhlal,41,46,130,12,31
Tammy Abraham,33,48,46,80,74
Christian Acella,0,0,1,0,0
Francesco Acerbi,17,13,151,78,42
Álvaro Aceves,0,0,2,1,1
Mohamed Achi,2,0,2,0,0
Marcos Acuña,32,34,141,30,18
Che Adams,38,27,53,61,103
Tyler Adams,37,21,199,25,15
Sargis Adamyan,17,6,40,12,25
Tosin Adarabioyo,17,5,110,59,26
Martin Adeline,5,0,11,6,5
Karim Adeyemi,21,30,66,10,4
Amine Adli,39,47,61,29,41
Yacine Adli,4,1,8,1,3
Michel Aebischer,22,22,68,10,25
Felix Afena-Gyan,18,11,39,17,42
Emmanuel Agbadou,29,6,248,60,36
Julen Agirrezabala,0,0,14,1,0
Lucien Agoume,30,8,84,31,18
Felix Agu,3,3,3,1,1
Álvaro Aguado,13,33,130,15,17
Kevin Agudelo,34,35,140,17,27
Nayef Aguerd,8,8,105,32,31
Ruben Aguilar,15,14,80,12,14
Naouirou Ahamada,2,0,8,0,1
Naouirou Ahamada,16,17,88,7,16
Amar Ahmed,1,1,2,0,3
Jean-Eudes Aholou,39,23,91,26,18
Joseph Aidoo,18,18,214,63,63
Ola Aina,16,16,62,12,10
Rayan Aït-Nouri,15,11,61,14,17
Emanuel Aiwum,21,15,121,28,17
Kristoffer Ajer,5,8,36,15,11
Ludovic Ajorque,14,8,21,50,33
Ludovic Ajorque,23,19,50,91,85
Manuel Akanji,24,12,136,23,34
Nathan Aké,12,14,96,36,23
Sergio Akieme,20,18,127,14,15
Babatunde Akinsola,0,1,1,0,0
Maghnes Akliouche,7,4,23,2,6
Paul Akouokou,7,4,27,6,7
Jean-Daniel Akpa-Akpro,31,18,76,16,18
Kevin Akpoguma,33,19,131,57,45
David Alaba,9,3,94,11,8
Ángel Alarcón,2,1,,,
Tomás Alarcón,4,3,14,3,1
Lucas Alario,9,2,10,21,23
Jordi Alba,11,4,118,8,15
Luis Alberto,15,13,162,8,13
Raúl Albiol,17,13,108,38,25
Marc Albrighton,2,2,13,1,1
Thiago Alcántara,18,25,111,14,24
Carlos Alcaraz,16,17,53,7,27
Rubén Alcaraz,45,33,159,30,29
Omar Alderete,35,10,141,61,31
Iván Alejo,38,44,76,25,17
Doğan Alemdar,0,0,6,2,0
Carles Aleñá,60,50,120,15,38
Trent Alexander-Arnold,22,6,239,20,13
Alejandro Alfaro,2,0,0,0,0
Ángel Algobia,31,10,68,7,21
Mohamed Ali Cho,11,12,34,5,15
Faride Alidou,8,1,16,2,7
Alisson,1,5,71,11,1
Jim Allevinah,22,53,153,12,17
Dele Alli,0,1,2,1,2
Domingos André Ribeiro Almeida,31,40,161,14,29
Miguel Almirón,22,33,139,6,10
Marcos Alonso,10,8,85,26,10
Mickaël Alphonse,19,15,89,32,27
Éder Álvarez Balanta,5,0,18,4,1
Carlos Álvarez,1,0,0,0,0
Gastón Álvarez,27,12,53,31,31
Julián Álvarez,21,14,44,8,23
Agustín Álvarez Martínez,8,4,20,8,12
Yeray Álvarez,22,22,194,55,39
Ibrahim Amadou,4,3,29,6,5
Selim Amallah,10,8,10,7,8
Daniel Amartey,7,3,108,34,26
Amath,35,24,62,8,19
Jordan Amavi,3,2,15,8,3
Lukáš Ambros,0,1,1,0,0
Kelvin Amian,37,5,107,34,35
Bruno Amione,3,0,5,1,0
Bruno Amione,24,16,121,68,43
