Player,Cmp,Att,Cmp%,TotDist,PrgDist,KP,pass1/3,PPA,CrsPA,PrgP
Brenden Aaronson,592,797,74.3,7577,2182,46,47,16,4,86
Paxten Aaronson,51,71,71.8,659,109,1,3,0,0,6
James Abankwah,23,29,79.3,375,79,0,0,0,0,0
George Abbott,1,1,100.0,8,0,0,0,0,0,0
Yunis Abdelhamid,1679,2031,82.7,32967,13407,13,155,5,0,215
Himad Abdelli,1043,1257,83.0,18273,4649,36,124,26,8,151
Salis Abdul Samed,1819,1981,91.8,28679,7020,17,182,17,3,165
Laurent Abergel,1308,1483,88.2,22287,7579,14,144,11,0,143
Oliver Abildgaard,115,195,59.0,1943,930,6,17,3,2,15
Matthis Abline,69,105,65.7,1187,235,5,7,3,1,8
Matthis Abline,7,15,46.7,129,30,2,1,1,0,2
Abner,252,351,71.8,3886,1578,2,18,3,1,16
Zakaria Aboukhlal,576,777,74.1,7539,1994,22,30,22,4,72
Tammy Abraham,342,513,66.7,4964,1248,33,18,17,2,54
Christian Acella,9,9,100.0,129,4,0,0,0,0,0
Francesco Acerbi,1455,1644,88.5,27034,8090,16,86,14,3,100
Álvaro Aceves,7,8,87.5,151,113,0,0,0,0,0
Mohamed Achi,18,21,85.7,274,76,1,1,0,0,3
Marcos Acuña,970,1307,74.2,18018,6997,38,71,38,19,102
Che Adams,330,498,66.3,4651,1042,24,21,11,2,34
Tyler Adams,1108,1343,82.5,16592,5061,24,110,13,0,136
Sargis Adamyan,123,179,68.7,2000,527,8,7,11,2,24
Tosin Adarabioyo,1066,1300,82.0,22623,8478,6,96,7,0,95
Martin Adeline,29,41,70.7,390,93,0,2,0,0,3
Karim Adeyemi,335,457,73.3,4409,1278,28,17,25,0,47
Amine Adli,427,565,75.6,5845,1373,20,26,10,0,49
Yacine Adli,49,76,64.5,931,308,2,6,2,0,10
Michel Aebischer,557,674,82.6,8050,2143,15,37,7,1,46
Felix Afena-Gyan,146,193,75.6,1855,194,3,3,0,0,8
Emmanuel Agbadou,1281,1493,85.8,27077,9413,13,112,15,1,131
Julen Agirrezabala,171,241,71.0,4890,3600,0,2,0,0,0
Lucien Agoume,619,744,83.2,10977,3466,12,62,15,2,93
Felix Agu,16,25,64.0,299,144,1,1,1,0,2
Álvaro Aguado,930,1142,81.4,18906,5096,35,111,11,2,139
Kevin Agudelo,531,735,72.2,7885,2631,28,58,31,2,110
Nayef Aguerd,599,763,78.5,12203,5332,6,37,4,0,25
Ruben Aguilar,696,847,82.2,10933,4515,3,72,11,5,102
Naouirou Ahamada,37,46,80.4,550,179,1,3,0,0,2
Naouirou Ahamada,449,529,84.9,6965,1651,15,38,7,2,56
Amar Ahmed,6,10,60.0,79,18,0,0,0,0,1
Jean-Eudes Aholou,447,592,75.5,7451,2109,9,53,11,1,50
Joseph Aidoo,1525,1766,86.4,31337,9650,2,83,4,0,95
Ola Aina,402,544,73.9,6725,2554,12,35,14,9,43
Rayan Aït-Nouri,470,578,81.3,7079,2353,7,29,14,5,43
Emanuel Aiwum,646,817,79.1,10819,3713,4,48,7,1,46
Kristoffer Ajer,259,345,75.1,4480,1887,1,20,3,1,31
Ludovic Ajorque,178,255,69.8,2614,397,10,10,6,0,13
Ludovic Ajorque,243,415,58.6,3550,613,13,17,8,0,31
Manuel Akanji,1912,2056,93.0,32634,10258,7,140,3,1,116
Nathan Aké,1639,1813,90.4,26199,8953,9,165,9,1,140
Sergio Akieme,821,1061,77.4,13314,5012,21,43,22,17,58
Babatunde Akinsola,2,2,100.0,41,0,0,0,0,0,0
Maghnes Akliouche,130,168,77.4,1613,498,6,12,5,0,16
Paul Akouokou,160,174,92.0,2670,645,0,13,1,0,10
Jean-Daniel Akpa-Akpro,302,406,74.4,4399,1671,6,24,9,2,39
Kevin Akpoguma,814,1024,79.5,15380,5931,5,83,10,3,85
David Alaba,1042,1189,87.6,15258,5475,16,68,9,4,67
Ángel Alarcón,,,,,,,,,,
Tomás Alarcón,78,95,82.1,1688,582,2,11,1,0,9
Lucas Alario,56,85,65.9,792,190,1,4,0,0,8
Jordi Alba,1217,1460,83.4,19141,5490,38,120,43,15,141
