Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att,Succ,Carries,CPA,Rec,PrgR
Brenden Aaronson,1143,12,116,495,554,72,100,34,686,13,767,151
Paxten Aaronson,99,2,6,41,53,17,6,3,55,2,65,15
James Abankwah,39,8,26,13,0,0,1,1,18,0,21,0
George Abbott,2,1,1,1,0,0,0,0,0,0,1,0
Yunis Abdelhamid,2459,241,1088,1275,123,39,37,21,1723,3,1499,10
Himad Abdelli,1516,26,237,914,409,23,76,43,1184,7,1066,111
Salis Abdul Samed,2224,66,404,1502,340,16,49,29,1849,3,1705,44
Laurent Abergel,1779,76,581,1069,151,4,41,23,1384,0,1257,14
Oliver Abildgaard,257,15,82,137,40,13,1,1,99,0,116,8
Matthis Abline,210,3,11,101,103,41,23,12,141,7,155,49
Matthis Abline,37,1,1,15,22,15,0,0,27,2,27,11
Abner,425,25,128,189,113,11,10,3,204,4,231,25
Zakaria Aboukhlal,1163,32,156,456,571,151,109,42,901,44,843,276
Tammy Abraham,786,19,50,391,355,125,68,22,421,16,621,141
Christian Acella,11,0,1,9,1,0,0,0,7,0,8,0
Francesco Acerbi,1890,226,858,880,167,27,12,7,1041,2,1252,32
Álvaro Aceves,8,6,8,0,0,0,0,0,8,0,2,0
Mohamed Achi,25,0,4,11,10,0,1,0,21,0,19,1
Marcos Acuña,1523,69,406,670,467,26,54,26,823,5,903,94
Che Adams,717,29,66,286,377,103,34,17,406,9,558,115
Tyler Adams,1628,44,376,1010,254,5,22,7,818,0,919,20
Sargis Adamyan,310,6,36,134,147,48,27,6,166,5,191,58
Tosin Adarabioyo,1544,231,776,733,46,19,8,6,834,1,975,3
Martin Adeline,59,4,22,22,16,1,3,1,31,0,27,1
Karim Adeyemi,676,11,68,240,384,65,94,34,455,21,478,131
Amine Adli,786,9,74,394,327,67,58,26,467,15,598,137
Yacine Adli,97,1,14,45,42,2,6,4,55,0,67,8
Michel Aebischer,791,14,147,400,246,28,13,6,505,4,618,85
Felix Afena-Gyan,318,7,40,129,156,28,25,7,202,3,217,54
Emmanuel Agbadou,1798,213,851,877,87,21,14,8,1287,2,1087,8
Julen Agirrezabala,253,203,249,4,0,0,0,0,150,0,105,0
Lucien Agoume,893,45,276,480,143,13,13,5,646,0,590,10
Felix Agu,33,1,7,13,14,2,3,0,19,0,19,2
Álvaro Aguado,1292,36,255,742,315,18,31,13,833,3,908,50
Kevin Agudelo,1084,11,168,500,457,54,109,50,662,19,699,100
Nayef Aguerd,949,161,563,358,35,23,6,4,523,0,564,4
Ruben Aguilar,975,44,210,463,305,24,14,7,637,3,573,78
Naouirou Ahamada,63,0,12,35,16,4,2,1,32,1,39,11
Naouirou Ahamada,674,18,139,387,160,22,44,20,408,6,453,54
Amar Ahmed,18,0,3,8,7,0,1,1,12,0,12,2
Jean-Eudes Aholou,799,26,131,483,194,27,34,14,538,9,477,37
Joseph Aidoo,2082,301,1114,938,46,15,13,8,1306,0,1321,2
Ola Aina,679,20,146,294,250,13,49,23,361,4,390,43
Rayan Aït-Nouri,740,40,240,279,233,28,50,28,395,10,454,76
Emanuel Aiwum,997,105,506,452,51,5,10,3,500,0,521,7
Kristoffer Ajer,412,45,184,167,64,9,7,1,213,0,231,12
Ludovic Ajorque,336,8,32,172,136,50,5,3,225,1,262,55
Ludovic Ajorque,555,8,34,291,236,76,12,7,253,1,415,85
Manuel Akanji,2231,121,815,1248,176,34,12,6,1544,1,1734,17
Nathan Aké,1959,86,615,1097,256,32,5,3,1223,4,1492,30
Sergio Akieme,1283,78,434,563,307,35,51,27,660,11,710,84
Babatunde Akinsola,4,0,1,2,1,0,0,0,4,0,5,3
Maghnes Akliouche,210,4,23,85,105,17,13,6,172,2,161,42
Paul Akouokou,233,33,102,117,16,1,5,3,116,0,136,1
Jean-Daniel Akpa-Akpro,630,24,163,338,143,24,55,31,325,8,351,37
Kevin Akpoguma,1306,143,613,609,93,16,22,7,691,3,742,23
