Player,Sh,SoT,SoT%,Dist,FK
Brenden Aaronson,41,9,22.0,18.4,2
Paxten Aaronson,4,1,25.0,18.7,0
James Abankwah,0,0,,,0
George Abbott,0,0,,,0
Yunis Abdelhamid,32,3,9.4,15.0,0
Himad Abdelli,24,7,29.2,22.4,2
Salis Abdul Samed,13,4,30.8,19.1,0
Laurent Abergel,13,2,15.4,24.0,0
Oliver Abildgaard,3,2,66.7,14.0,0
Matthis Abline,24,8,33.3,20.6,0
Matthis Abline,6,2,33.3,12.2,0
Abner,5,1,20.0,13.6,0
Zakaria Aboukhlal,83,30,36.1,15.9,0
Tammy Abraham,62,28,45.2,12.0,0
Christian Acella,0,0,,,0
Francesco Acerbi,18,2,11.1,15.9,0
Álvaro Aceves,0,0,,,0
Mohamed Achi,1,0,0.0,26.1,0
Marcos Acuña,21,5,23.8,25.6,1
Che Adams,47,14,29.8,13.8,0
Tyler Adams,4,0,0.0,27.5,0
Sargis Adamyan,21,11,52.4,14.0,0
Tosin Adarabioyo,16,4,25.0,21.2,1
Martin Adeline,1,0,0.0,25.5,0
Karim Adeyemi,37,14,37.8,17.4,0
Amine Adli,37,17,45.9,14.0,1
Yacine Adli,2,2,100.0,18.5,0
Michel Aebischer,15,2,13.3,17.1,1
Felix Afena-Gyan,21,2,9.5,18.7,0
Emmanuel Agbadou,22,3,13.6,15.8,0
Julen Agirrezabala,0,0,,,0
Lucien Agoume,9,3,33.3,15.6,0
Felix Agu,1,0,0.0,15.9,0
Álvaro Aguado,20,6,30.0,24.6,1
Kevin Agudelo,28,7,25.0,21.4,0
Nayef Aguerd,12,2,16.7,9.9,0
Ruben Aguilar,4,2,50.0,17.5,0
Naouirou Ahamada,3,0,0.0,15.9,0
Naouirou Ahamada,16,5,31.3,22.1,0
Amar Ahmed,0,0,,,0
Jean-Eudes Aholou,21,8,38.1,25.0,0
Joseph Aidoo,14,3,21.4,13.2,0
Ola Aina,8,3,37.5,15.2,0
Rayan Aït-Nouri,10,5,50.0,14.1,0
Emanuel Aiwum,3,1,33.3,17.7,0
Kristoffer Ajer,1,0,0.0,6.0,0
Ludovic Ajorque,22,7,31.8,15.1,1
Ludovic Ajorque,32,14,43.8,14.8,0
Manuel Akanji,15,2,13.3,15.9,0
Nathan Aké,9,2,22.2,10.5,0
Sergio Akieme,23,7,30.4,20.2,0
