Player,Pos,Squad,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgR
Brenden Aaronson,"MF,FW",Leeds United,2372,1,3,4,1,0,0,2,0,3.9,3.9,4.2,8.1,43.0,151.0
Paxten Aaronson,"MF,DF",Eint Frankfurt,173,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,8.0,15.0
James Abankwah,DF,Udinese,63,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
George Abbott,MF,Tottenham,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Yunis Abdelhamid,DF,Reims,3330,1,2,3,1,0,0,6,0,2.4,2.4,1.0,3.4,40.0,10.0
Himad Abdelli,"MF,FW",Angers,2137,2,2,4,2,0,0,3,0,1.4,1.4,2.9,4.3,58.0,111.0
Salis Abdul Samed,MF,Lens,2894,1,1,2,1,0,0,6,1,0.9,0.9,1.6,2.5,33.0,44.0
Laurent Abergel,MF,Lorient,2342,0,1,1,0,0,0,7,1,0.5,0.5,1.3,1.8,13.0,14.0
Oliver Abildgaard,MF,Hellas Verona,592,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.6,2.0,8.0
Abner,DF,Betis,607,0,0,0,0,0,0,2,0,1.7,1.7,0.1,1.8,8.0,25.0
Zakaria Aboukhlal,"FW,MF",Toulouse,2473,10,5,15,10,0,0,4,0,11.5,11.5,3.3,14.7,100.0,276.0
Tammy Abraham,FW,Roma,2189,8,3,11,8,0,0,2,0,10.8,10.8,3.6,14.5,35.0,141.0
Christian Acella,MF,Cremonese,15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Francesco Acerbi,DF,Inter,2425,0,2,2,0,0,0,4,0,1.0,1.0,1.1,2.1,39.0,32.0
Álvaro Aceves,GK,Valladolid,13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Achi,FW,Nantes,36,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2.0,1.0
